timestamp,wire_part_vacuum_foil_level_set_point,exhaust_fan_3_burner_temperature_set_point,paper_machine_speed_set_point,primary_screen_reject_flow_rate_set_point,turbo_3_vacuum_control_output_set_point,shoe_press_hydration_tank_level,low_pressure_steam_flow_rate_set_point,air_dryer_temperature_set_point,jw_ratio_volume_flow,3p_load_top_side_set_point,mix_pipe_flow_set_point,top_dryers_steam_pressure_set_point,spray_starch_standby_pump_rate_set_point,paper_substance_weight,paper_brightness_top_side,luminance_value_top_side,luminance_value_bottom_side
0,-3.6299422468457903,35.20203389714766,464.8130798339844,1489.0996733165923,85.30304605432599,90.40479569208054,37.394937242780415,41.94282386416481,102.26864224388486,15.0,2426.5804036458335,0.6634207367897034,84.99734674781598,271.8,91.19,92.21,90.87
1,-3.6913933640434626,35.91813412113294,464.23390706380206,1498.7530808221727,85.32227330205046,90.35345495314826,36.22669347127279,42.12481126331148,102.09702373686291,15.0,2437.4226422991073,0.49544096276873634,35.945196543188764,271.6,91.14,92.21,90.91
2,-3.646355049950736,37.340524531904556,458.62206595284596,1498.7174246651787,85.40523989690416,90.30094728015717,37.08446302868071,42.100953238351,101.07058207194011,15.0,2361.1922781808034,0.4593367278575897,36.0,274.2,91.31,92.21,91.05
3,-3.843794198263259,37.2494396197498,410.5989496140253,1491.5838564918154,85.67516198496517,89.36049906412761,31.952102661132812,42.06691632952009,99.11939421154204,15.0,2146.8104422433034,0.15573834947177337,83.00062308367794,283.0,91.32,92.46,90.71
4,-3.6708525930132185,36.91301349706249,414.1961916968936,1503.300269717262,85.61735931257739,89.36127471923828,32.467823391868954,42.13642810639881,99.17066519601005,15.0,2172.4889322916665,0.1907849758863449,82.99743308333879,286.6,91.28,92.45,90.75
5,-3.7763524055480957,36.85713729568686,414.71325247628346,1492.3747267950148,85.64154178389511,89.36204783121745,32.41733705429804,42.14201881771996,98.42806825183686,15.0,2214.528006417411,0.20908664947464348,82.9951031075577,284.4,91.18,92.44,90.74
6,-3.6737818945021856,36.545225917246704,415.1120125906808,1501.3571079799108,85.71566846193186,89.36282094319661,33.492683592296785,41.835806347074964,98.60307312011719,15.0,2204.8618745349704,0.21359244840485705,82.99550228742656,283.0,91.08,92.36,90.54
7,-3.6619574910118464,36.56896986998773,415.5107727050781,1500.4644949776787,85.74360834707659,89.36358242943173,33.81975192115421,41.945609864734465,98.77078283400763,15.0,2203.5789736793154,0.21241662757737292,82.99590574845385,282.6,91.17,92.37,90.52
8,-3.192480825242542,36.50973849383821,429.8479309082031,1498.5396786644346,85.7071210112559,90.20832824707031,34.12371608189174,41.99018678211031,101.06525239490327,15.0,2193.4070754278273,0.13406123699886455,82.99630920948123,282.6,91.06,92.17,90.56
9,-3.0817086583092097,36.33807960063388,430.4000767299107,1502.496616908482,85.64698245605948,90.22511291503906,33.714586893717446,42.0964724222819,101.27700696672711,15.0,2192.2592192150296,0.1665952269520078,82.9967339052995,278.0,90.99,92.17,90.53
10,-3.0250235398610434,36.323364704372025,430.9798278808594,1500.9397379557292,85.61475076525068,90.24272918701172,34.17221214657738,41.81227366129557,101.49934932163784,15.0,2179.8690011160716,0.1753739750101453,82.99717983590865,275.0,90.93,92.18,90.53
11,-3.074387164342971,34.6889472313694,445.22072347005206,1499.6569417317708,85.58842602688276,90.2578353881836,34.3273435320173,42.06132979620071,101.23229144868397,15.0,2134.1934988839284,0.16575571646293003,82.99756206214506,275.0,91.05,92.17,90.58
12,-3.0906401702335904,34.782313318201034,445.9366745721726,1499.1184779575892,85.59001309273306,90.27377319335938,34.59909130278088,42.091332208542596,101.04875183105469,15.0,2171.217017764137,0.2087313582499822,82.99796552317241,266.6,90.77,92.09,90.45
13,-3.0580029374077204,34.835354273282434,461.4625273204985,1493.7786574590773,85.4559998038619,90.29569825671967,34.45961924961635,42.119571322486514,101.78998674665179,15.0,2130.938767206101,0.2461315130903607,82.99835836680428,266.6,90.83,92.07,90.37
14,-5.320499374752953,36.90209004122985,442.8663795107887,1797.9879441034227,89.90039365582167,89.22423553466797,42.924583435058594,41.959954579671226,96.16085597446987,10.0,2022.1224655877977,0.6347704146589551,82.00499725341797,276.6,91.61,92.3,90.16
15,-5.06058729262579,37.466208941363114,440.0191911969866,1799.604236421131,89.98070135291127,89.2315415881929,41.872361501057945,42.11351576305571,96.23287854875836,10.0,2039.758265904018,0.656196741830735,82.00499725341797,276.6,91.65,92.35,90.25
16,-4.691046374184745,38.19355239491157,439.9014805385045,1799.4630533854167,90.09338256227325,89.24406578427269,41.273092179071334,42.10240845453171,96.36040642147972,10.0,2026.4506196521577,0.4687709850924356,82.00499725341797,277.8,91.71,92.37,90.27
17,-4.723509130023775,39.351137091831454,439.78377423967635,1799.4007045200892,90.19629497653277,89.25658998035249,40.534857432047524,41.96302995227632,96.33094932919457,10.0,2020.9685116722471,0.4397397296769278,82.00499725341797,272.6,91.65,92.25,90.38
18,-5.061134134020124,39.63795571042236,439.6660635811942,1789.3435523623511,90.29920739079235,89.26911308651879,40.582047598702566,41.8817016964867,95.90624709356399,10.0,2002.1802397228423,0.44038973110062735,82.00499725341797,271.8,91.75,92.37,90.27
19,-4.897696608588809,39.91730617571307,439.54835292271207,1791.7745884486608,90.38644551275763,89.28163764590309,41.29258110409691,42.15668451218378,95.0708752586728,10.0,2014.1124790736608,0.4370185647691999,82.00499725341797,271.6,91.49,92.4,90.35
20,-4.841254302433559,39.96983424340999,439.42083740234375,1799.8638974144346,90.3131275541937,89.29520561581566,40.737295968191965,42.058256421770366,94.19615173339844,10.0,2009.3974434988838,0.3763045271237691,82.00499725341797,273.6,91.64,92.44,90.44
