motor_torque,motor_temperature,motor_speed_set_point,tubing_pressure,gas_flow_rate
214.5436355,95.02338108,2000,20851.36638,0.7944452821
358.4114549,86.97313917,2000,22102.36742,0.2205483025
627.1962679,86.97313917,2000,25132.58449,0.2374164278
750.1631885,92.87720236,2000,29335.79716,0.7386452791
754.8938574,90.93012058,2000,27129.60214,0.1275325117
919.8875121,61.6377337,2000,24204.59514,0.1586455618
953.0980224,53.47964657,2000,28191.09217,0.398286113
917.3246604,50,2000,27433.6559,0.2140975542
832.0225134,50,2000,26173.97926,0.4373872163
566.3790656,73.83017699,2000,30000,0.3744555007
415.5058085,71.37795432,2000,28195.44674,0.558833855
547.2327387,73.77215629,2000,27611.92332,0.9682138686
547.2327387,73.43654382,2000,27611.92332,0.9682138686
188.203423,73.43654382,2000,28729.66877,0.5339229104
590.8283484,73.86005939,2000,27832.37927,0.2914187211
549.1529144,51.59092564,2000,21244.63106,0.296412241
353.9976786,67.70676062,2000,20000,0.318882874
997.0059838,86.72555842,2000,22560.93799,0.1193523464
662.9925857,73.30835834,2000,24076.60378,0.4408911772
655.2921021,98.45423615,2000,20967.97368,0.4196301687
540.4696538,85.90035354,2000,24879.04228,0.3126176213
500.0590414,76.4463422,2000,28059.43988,0.2572821399
827.3745855,78.31924945,2000,27173.79105,0.3983536017
315.3706395,50,2000,24698.83378,0.8041099825
247.8347854,79.6081361,2000,29540.90698,0.9353641494
238.4875868,100,2000,26359.78276,0.9861463162
141.2239892,90.75934194,2000,28481.46367,0.9897016938
281.1956553,90.75934194,2000,29837.70373,0.1
426.2826837,81.4954748,2000,27167.82861,0.6034433954
173.4710551,68.24842146,2000,29522.35612,0.2788277574
173.4710551,68.24842146,2000,29522.35612,0.2788277574
305.3225212,66.85422637,2000,28705.42066,0.1
441.5587657,100,2000,21081.44801,0.3034564854
612.4315691,100,2000,24365.81418,0.4109391306
444.1842964,100,2000,28285.38681,0.1413258686
295.717553,65.89369234,2000,29106.92189,0.4581768553
971.2235224,97.78876256,2000,23278.7297,0.3744690604
707.9137566,91.85736923,2000,27471.22372,0.4644904649
707.9137566,70.5524301,2000,27471.22372,0.4644904649
100,63.16978202,2000,28303.47664,0.3555250016
230.4989725,100,2000,23700.05251,0.3959796201
510.8075667,89.25055877,2000,20000,0.7687605242
572.8292266,96.77706775,2000,22889.84911,0.7358442202
572.8292266,89.27084854,2000,22889.84911,0.7358442202
614.8119039,89.27084854,2000,28315.43125,0.8780929659
798.9768942,56.36257732,2000,27148.1145,0.9738709532
753.0603892,65.88266838,2000,28306.22606,0.6711732185
116.4009749,65.88266838,2000,28047.87752,0.5260573869
731.9964003,63.049466,2000,29087.38938,0.4763944448
147.3004882,63.68004289,2000,29987.9795,0.7917722464
154.3429731,66.78878429,2000,28233.36012,0.5783114281
597.7501589,53.41938557,2000,27953.00552,0.3787262976
157.0240706,93.77095668,2000,29948.83761,0.7066102002
667.1109849,83.11739885,2000,25724.4366,0.8160151259
629.0117672,69.03530866,2000,21949.65104,0.6818074887
755.6701885,51.48768134,2000,21122.67007,0.3977805917
885.2258045,86.31103357,2000,26519.87904,0.800916566
499.8392186,100,2000,25544.37644,0.976588585
886.2150771,100,2000,23538.4364,0.8205212054
631.341445,97.17219659,2000,24676.83159,0.3631051605
625.08397,77.24031528,2000,21855.24247,0.9655680855
370.3595646,60.13931261,2000,20879.54271,0.9725557485
419.4778377,66.04195312,2000,20025.29192,0.6231689793
1000,68.97801901,2000,27333.68585,0.7396771265
912.6624155,68.97801901,2000,25367.62629,0.6638080928
351.6839955,56.04423536,2000,20000,0.3394980197
754.9919145,53.83638183,2000,20675.91128,0.1028453029
787.4227428,69.6147285,2000,20567.83491,0.6836184106
353.1619746,89.42441732,2000,25187.12046,0.1
687.0684625,75.55298462,2000,29017.57683,0.2732824413
268.0775161,82.30197484,2000,26171.32333,0.1512934252
431.0179627,82.30197484,2000,30000,0.5009719514
454.8175472,81.82570335,2000,29991.00285,0.3254231629
933.0860893,84.24549758,2000,25143.34805,0.9941706962
895.392006,86.96464017,2000,24068.81555,0.8616278395
784.8718653,86.96464017,2000,23279.71453,0.5611904184
835.6324907,83.91447567,2000,29364.75606,0.6977133645
1000,98.77368575,2000,25710.87557,0.4045429703
931.9098473,83.38446841,2000,27275.66914,0.9739147511
668.5922277,94.51398729,2000,29667.52451,0.8488523654
668.5922277,87.1230721,2000,29667.52451,0.8488523654
850.96084,80.5105104,2000,30000,0.6546729014
814.9218517,50.99841827,2000,25642.27778,0.4380735092
