timestamp,motor_temperature,motor_speed_set_point
2024-05-20 20:19:30,50.57,1615
2024-05-20 20:19:35,73.48,
2024-05-20 20:19:40,59.28,
2024-05-20 20:19:45,64.45,
2024-05-20 20:19:50,75.59,
2024-05-20 20:19:55,67.27,
2024-05-20 20:20:00,66.21,
2024-05-20 20:20:05,63.71,
2024-05-20 20:20:10,79.13,
2024-05-20 20:20:15,55.05,
2024-05-20 20:20:20,75.79,
2024-05-20 20:20:25,74.66,
2024-05-20 20:20:30,50.93,
2024-05-20 20:20:35,84.93,
2024-05-20 20:20:40,66.52,
2024-05-20 20:20:45,64.44,
2024-05-20 20:20:50,74.76,
2024-05-20 20:20:55,71.95,
2024-05-20 20:21:00,56.99,
2024-05-20 20:21:05,84.57,
2024-05-20 20:21:10,73.97,
2024-05-20 20:21:15,84.74,
2024-05-20 20:21:20,53.77,
2024-05-20 20:21:25,69.96,
2024-05-20 20:21:30,76.96,
2024-05-20 20:21:35,62.48,
2024-05-20 20:21:40,84.46,
2024-05-20 20:21:45,66.31,
2024-05-20 20:21:50,60.53,
2024-05-20 20:21:55,71.02,
2024-05-20 20:22:00,50.83,
2024-05-20 20:22:05,60.91,
2024-05-20 20:22:10,63.34,
2024-05-20 20:22:15,82.1,
2024-05-20 20:22:20,75.78,
2024-05-20 20:22:25,65.62,
2024-05-20 20:22:30,54.68,
2024-05-20 20:22:35,74.38,
2024-05-20 20:22:40,80.7,
2024-05-20 20:22:45,68.0,
2024-05-20 20:22:50,81.79,
2024-05-20 20:22:55,74.63,
2024-05-20 20:23:00,56.39,
2024-05-20 20:23:05,60.46,
2024-05-20 20:23:10,73.37,
2024-05-20 20:23:15,78.63,
2024-05-20 20:23:20,60.53,
2024-05-20 20:23:25,61.7,
2024-05-20 20:23:30,54.44,
2024-05-20 20:23:35,78.44,
2024-05-20 20:23:40,50.4,
2024-05-20 20:23:45,72.33,
2024-05-20 20:23:50,71.11,
2024-05-20 20:23:55,69.25,
2024-05-20 20:24:00,64.4,
2024-05-20 20:24:05,63.59,
2024-05-20 20:24:10,73.09,
2024-05-20 20:24:15,72.13,
2024-05-20 20:24:20,54.59,
2024-05-20 20:24:25,57.91,
2024-05-20 20:24:30,82.77,1769
2024-05-20 20:24:35,60.58,
2024-05-20 20:24:40,77.37,
2024-05-20 20:24:45,73.75,
2024-05-20 20:24:50,80.56,
2024-05-20 20:24:55,53.88,
2024-05-20 20:25:00,62.56,
2024-05-20 20:25:05,70.58,
2024-05-20 20:25:10,53.81,
2024-05-20 20:25:15,51.82,
2024-05-20 20:25:20,54.2,
2024-05-20 20:25:25,61.75,
2024-05-20 20:25:30,78.94,
2024-05-20 20:25:35,70.09,
2024-05-20 20:25:40,65.99,
2024-05-20 20:25:45,51.77,
2024-05-20 20:25:50,52.64,
2024-05-20 20:25:55,66.79,
2024-05-20 20:26:00,64.7,
2024-05-20 20:26:05,73.61,
2024-05-20 20:26:10,53.24,
2024-05-20 20:26:15,80.41,
2024-05-20 20:26:20,60.6,
2024-05-20 20:26:25,53.84,
2024-05-20 20:26:30,67.45,
2024-05-20 20:26:35,55.43,
2024-05-20 20:26:40,57.71,
2024-05-20 20:26:45,58.08,
2024-05-20 20:26:50,57.33,
2024-05-20 20:26:55,55.83,
2024-05-20 20:27:00,64.66,
2024-05-20 20:27:05,83.63,
2024-05-20 20:27:10,55.65,
2024-05-20 20:27:15,77.79,
2024-05-20 20:27:20,64.91,
2024-05-20 20:27:25,52.88,
2024-05-20 20:27:30,76.7,
2024-05-20 20:27:35,84.73,
2024-05-20 20:27:40,73.81,
2024-05-20 20:27:45,63.6,
2024-05-20 20:27:50,78.5,
2024-05-20 20:27:55,72.31,
2024-05-20 20:28:00,54.67,
2024-05-20 20:28:05,64.05,
2024-05-20 20:28:10,73.76,
2024-05-20 20:28:15,66.96,
2024-05-20 20:28:20,53.71,
2024-05-20 20:28:25,51.28,
2024-05-20 20:28:30,81.22,
2024-05-20 20:28:35,58.91,
2024-05-20 20:28:40,73.57,
2024-05-20 20:28:45,74.16,
2024-05-20 20:28:50,82.48,
2024-05-20 20:28:55,61.7,
2024-05-20 20:29:00,74.92,
2024-05-20 20:29:05,75.92,
2024-05-20 20:29:10,67.48,
2024-05-20 20:29:15,66.74,
2024-05-20 20:29:20,61.41,
2024-05-20 20:29:25,77.76,
2024-05-20 20:29:30,82.06,1813
2024-05-20 20:29:35,65.13,
2024-05-20 20:29:40,57.56,
2024-05-20 20:29:45,71.85,
2024-05-20 20:29:50,70.78,
2024-05-20 20:29:55,84.96,
2024-05-20 20:30:00,68.38,
2024-05-20 20:30:05,78.12,
2024-05-20 20:30:10,78.68,
2024-05-20 20:30:15,81.81,
2024-05-20 20:30:20,61.14,
2024-05-20 20:30:25,78.25,
2024-05-20 20:30:30,50.5,
2024-05-20 20:30:35,72.62,
2024-05-20 20:30:40,60.03,
2024-05-20 20:30:45,58.09,
2024-05-20 20:30:50,56.78,
2024-05-20 20:30:55,72.19,
2024-05-20 20:31:00,62.42,
2024-05-20 20:31:05,78.1,
2024-05-20 20:31:10,71.33,
2024-05-20 20:31:15,53.07,
2024-05-20 20:31:20,53.09,
2024-05-20 20:31:25,71.8,
2024-05-20 20:31:30,84.27,
2024-05-20 20:31:35,58.15,
2024-05-20 20:31:40,65.88,
2024-05-20 20:31:45,57.46,
2024-05-20 20:31:50,59.04,
2024-05-20 20:31:55,66.02,
2024-05-20 20:32:00,50.57,
2024-05-20 20:32:05,62.06,
2024-05-20 20:32:10,51.13,
2024-05-20 20:32:15,84.66,
2024-05-20 20:32:20,83.84,
2024-05-20 20:32:25,53.79,
2024-05-20 20:32:30,79.48,
